name,description,binding,readonly,enabled,hidden,options
e#ace#default#showSettingsMenu,Show Settings Menu,"[[u'ctrl+,'], [u'command+,']]",True,False,True,{u'ace': True}
e#ace#default#goToNextError,Go to Next Error,"[[u'alt+e'], [u'ctrl+e']]",True,True,False,{u'ace': True}
e#ace#default#goToPreviousError,Go to Previous Error,"[[u'alt+shift+e'], [u'ctrl+shift+e']]",True,True,False,{u'ace': True}
e#ace#default#selectall,Select All,"[[u'ctrl+a'], [u'command+a']]",True,True,False,{u'ace': True}
e#ace#default#centerselection,Center Selection,"[None, [u'ctrl+l']]",True,True,False,{u'ace': True}
e#ace#default#gotoline,Go to Line,"[[u'ctrl+l'], [u'command+l']]",True,False,True,{u'ace': True}
e#ace#default#fold,Fold,"[[u'alt+l', u'ctrl+f1'], [u'command+alt+l', u'command+f1']]",True,True,False,{u'ace': True}
e#ace#default#unfold,Unfold,"[[u'alt+shift+l', u'ctrl+shift+f1'], [u'command+alt+shift+l', u'command+shift+f1']]",True,True,False,{u'ace': True}
e#ace#default#toggleFoldWidget,Toggle Fold Widget,"[[u'f2'], [u'f2']]",True,True,False,{u'ace': True}
e#ace#default#toggleParentFoldWidget,Toggle Parent Fold Widget,"[[u'alt+f2'], [u'alt+f2']]",True,True,False,{u'ace': True}
e#ace#default#foldall,Fold All,"[[u'ctrl+alt+0'], [u'ctrl+command+option+0']]",True,True,False,{u'ace': True}
e#ace#default#foldOther,Fold Other,"[[u'alt+0'], [u'command+option+0']]",True,True,False,{u'ace': True}
e#ace#default#unfoldall,Unfold All,"[[u'alt+shift+0'], [u'command+option+shift+0']]",True,True,False,{u'ace': True}
e#ace#default#findnext,Find Next,"[[u'ctrl+k'], [u'command+g']]",True,True,False,{u'ace': True}
e#ace#default#findprevious,Find Previous,"[[u'ctrl+shift+k'], [u'command+shift+g']]",True,True,False,{u'ace': True}
e#ace#default#selectOrFindNext,Select or Find Next,"[[u'alt+k'], [u'ctrl+g']]",True,True,False,{u'ace': True}
