name,description,binding,readonly,enabled,hidden,options
w#findfilebyname,Find File by Name,"[[u'ctrl+alt+o'], [u'ctrl+alt+o']]",False,True,False,{u'mousetrap': {u'global': True}}
w#searchallfiles,Search in All Files,"[[u'ctrl+alt+f'], [u'ctrl+alt+f']]",False,True,False,{u'mousetrap': {u'global': True}}
w#splitvertically,Split Vertically,"[[u'ctrl+alt+v'], [u'ctrl+alt+v']]",False,True,False,{u'mousetrap': {u'global': True}}
w#splithorizontally,Split Horizontally,"[[u'ctrl+alt+h'], [u'ctrl+alt+h']]",False,True,False,{u'mousetrap': {u'global': True}}
w#mergesplitview,Merge Split Panes,"[[u'ctrl+alt+m'], [u'ctrl+alt+m']]",False,True,False,{u'mousetrap': {u'global': True}}
w#previewfile,Preview File,"[[u'ctrl+alt+p'], [u'ctrl+alt+p']]",False,True,False,{u'mousetrap': {u'global': True}}
w#saveallfiles,Save All,"[[u'ctrl+alt+s'], [u'ctrl+alt+s']]",False,True,False,{u'mousetrap': {u'global': True}}
w#createnewfile,New File,"[[u'ctrl+alt+n'], [u'ctrl+alt+n']]",False,True,False,{u'mousetrap': {u'global': True}}
w#createnewterminal,New Terminal,"[[u'ctrl+alt+t'], [u'ctrl+alt+t']]",False,True,False,{u'mousetrap': {u'global': True}}
w#createnewbrowser,New Browser,"[[u'ctrl+alt+b'], [u'ctrl+alt+b']]",False,True,False,{u'mousetrap': {u'global': True}}
w#createnewdrawing,New Drawing Board,"[[u'ctrl+alt+d'], [u'ctrl+alt+d']]",False,True,False,{u'mousetrap': {u'global': True}}
w#togglesidebar,Toggle Sidebar,"[[u'ctrl+alt+k'], [u'ctrl+alt+k']]",False,True,False,{u'mousetrap': {u'global': True}}
w#closetab,Close Tab,"[[u'ctrl+alt+w'], [u'ctrl+alt+w']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gotolefttab,Go to Left Tab,"[[u'ctrl+alt+['], [u'ctrl+alt+[']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gotorighttab,Go to Right Tab,"[[u'ctrl+alt+]'], [u'ctrl+alt+]']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber1,Go to Tab #1,"[[u'ctrl+1'], [u'command+1']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber2,Go to Tab #2,"[[u'ctrl+2'], [u'command+2']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber3,Go to Tab #3,"[[u'ctrl+3'], [u'command+3']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber4,Go to Tab #4,"[[u'ctrl+4'], [u'command+4']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber5,Go to Tab #5,"[[u'ctrl+5'], [u'command+5']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber6,Go to Tab #6,"[[u'ctrl+6'], [u'command+6']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber7,Go to Tab #7,"[[u'ctrl+7'], [u'command+7']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber8,Go to Tab #8,"[[u'ctrl+8'], [u'command+8']]",False,True,False,{u'mousetrap': {u'global': True}}
w#gototabnumber9,Go to Tab #9,"[[u'ctrl+9'], [u'command+9']]",False,True,False,{u'mousetrap': {u'global': True}}
w#fullscreen,Fullscreen,"[[u'ctrl+shift+enter'], [u'command+shift+enter']]",False,True,False,{u'mousetrap': {u'global': True}}
w#movetabup,Move Tab Up,"[[u'ctrl+alt+shift+up'], [u'command+alt+shift+up']]",False,True,False,{u'mousetrap': {u'global': True}}
w#movetabdown,Move Tab Down,"[[u'ctrl+alt+shift+down'], [u'command+alt+shift+down']]",False,True,False,{u'mousetrap': {u'global': True}}
w#movetableft,Move Tab Left,"[[u'ctrl+alt+shift+left'], [u'command+alt+shift+left']]",False,True,False,{u'mousetrap': {u'global': True}}
w#movetabright,Move Tab Right,"[[u'ctrl+alt+shift+right'], [u'command+alt+shift+right']]",False,True,False,{u'mousetrap': {u'global': True}}
